year,species,species.n,age,quarter,sub_area,WSEA,N
1974,GSE,13,1,1,1,10,13
1974,GSE,13,1,2,1,10,13
1974,GSE,13,1,3,1,10,13
1974,GSE,13,1,4,1,10,16
1975,GSE,13,1,1,1,10,14
1975,GSE,13,1,2,1,10,14
1975,GSE,13,1,3,1,10,14
1975,GSE,13,1,4,1,10,17
1976,GSE,13,1,1,1,10,15
1976,GSE,13,1,2,1,10,15
1976,GSE,13,1,3,1,10,15
1976,GSE,13,1,4,1,10,18
1977,GSE,13,1,1,1,10,16
1977,GSE,13,1,2,1,10,16
1977,GSE,13,1,3,1,10,16
1977,GSE,13,1,4,1,10,20
1978,GSE,13,1,1,1,10,17
1978,GSE,13,1,2,1,10,17
1978,GSE,13,1,3,1,10,17
1978,GSE,13,1,4,1,10,21
1979,GSE,13,1,1,1,10,19
1979,GSE,13,1,2,1,10,19
1979,GSE,13,1,3,1,10,19
1979,GSE,13,1,4,1,10,23
1980,GSE,13,1,1,1,10,20
1980,GSE,13,1,2,1,10,20
1980,GSE,13,1,3,1,10,20
1980,GSE,13,1,4,1,10,25
1981,GSE,13,1,1,1,10,21
1981,GSE,13,1,2,1,10,21
1981,GSE,13,1,3,1,10,21
1981,GSE,13,1,4,1,10,27
1982,GSE,13,1,1,1,10,23
1982,GSE,13,1,2,1,10,23
1982,GSE,13,1,3,1,10,23
1982,GSE,13,1,4,1,10,29
1983,GSE,13,1,1,1,10,25
1983,GSE,13,1,2,1,10,25
1983,GSE,13,1,3,1,10,25
1983,GSE,13,1,4,1,10,31
1984,GSE,13,1,1,1,10,27
1984,GSE,13,1,2,1,10,27
1984,GSE,13,1,3,1,10,27
1984,GSE,13,1,4,1,10,33
1985,GSE,13,1,1,1,10,29
1985,GSE,13,1,2,1,10,29
1985,GSE,13,1,3,1,10,29
1985,GSE,13,1,4,1,10,36
1986,GSE,13,1,1,1,10,31
1986,GSE,13,1,2,1,10,31
1986,GSE,13,1,3,1,10,31
1986,GSE,13,1,4,1,10,39
1987,GSE,13,1,1,1,10,33
1987,GSE,13,1,2,1,10,33
1987,GSE,13,1,3,1,10,33
1987,GSE,13,1,4,1,10,42
1988,GSE,13,1,1,1,10,36
1988,GSE,13,1,2,1,10,36
1988,GSE,13,1,3,1,10,36
1988,GSE,13,1,4,1,10,45
1989,GSE,13,1,1,1,10,39
1989,GSE,13,1,2,1,10,39
1989,GSE,13,1,3,1,10,39
1989,GSE,13,1,4,1,10,49
1990,GSE,13,1,1,1,10,42
1990,GSE,13,1,2,1,10,42
1990,GSE,13,1,3,1,10,42
1990,GSE,13,1,4,1,10,52
1991,GSE,13,1,1,1,10,45
1991,GSE,13,1,2,1,10,45
1991,GSE,13,1,3,1,10,45
1991,GSE,13,1,4,1,10,56
1992,GSE,13,1,1,1,10,48
1992,GSE,13,1,2,1,10,48
1992,GSE,13,1,3,1,10,48
1992,GSE,13,1,4,1,10,60
1993,GSE,13,1,1,1,10,51
1993,GSE,13,1,2,1,10,51
1993,GSE,13,1,3,1,10,51
1993,GSE,13,1,4,1,10,64
1994,GSE,13,1,1,1,10,54
1994,GSE,13,1,2,1,10,54
1994,GSE,13,1,3,1,10,54
1994,GSE,13,1,4,1,10,68
1995,GSE,13,1,1,1,10,58
1995,GSE,13,1,2,1,10,58
1995,GSE,13,1,3,1,10,58
1995,GSE,13,1,4,1,10,72
1996,GSE,13,1,1,1,10,61
1996,GSE,13,1,2,1,10,61
1996,GSE,13,1,3,1,10,61
1996,GSE,13,1,4,1,10,76
1997,GSE,13,1,1,1,10,64
1997,GSE,13,1,2,1,10,64
1997,GSE,13,1,3,1,10,64
1997,GSE,13,1,4,1,10,80
1998,GSE,13,1,1,1,10,68
1998,GSE,13,1,2,1,10,68
1998,GSE,13,1,3,1,10,68
1998,GSE,13,1,4,1,10,84
1999,GSE,13,1,1,1,10,71
1999,GSE,13,1,2,1,10,71
1999,GSE,13,1,3,1,10,71
1999,GSE,13,1,4,1,10,87
2000,GSE,13,1,1,1,10,74
2000,GSE,13,1,2,1,10,74
2000,GSE,13,1,3,1,10,74
2000,GSE,13,1,4,1,10,91
2001,GSE,13,1,1,1,10,76
2001,GSE,13,1,2,1,10,76
2001,GSE,13,1,3,1,10,76
2001,GSE,13,1,4,1,10,94
2002,GSE,13,1,1,1,10,79
2002,GSE,13,1,2,1,10,79
2002,GSE,13,1,3,1,10,79
2002,GSE,13,1,4,1,10,97
2003,GSE,13,1,1,1,10,81
2003,GSE,13,1,2,1,10,81
2003,GSE,13,1,3,1,10,81
2003,GSE,13,1,4,1,10,99
2004,GSE,13,1,1,1,10,82
2004,GSE,13,1,2,1,10,82
2004,GSE,13,1,3,1,10,82
2004,GSE,13,1,4,1,10,101
2005,GSE,13,1,1,1,10,84
2005,GSE,13,1,2,1,10,84
2005,GSE,13,1,3,1,10,84
2005,GSE,13,1,4,1,10,103
2006,GSE,13,1,1,1,10,85
2006,GSE,13,1,2,1,10,85
2006,GSE,13,1,3,1,10,85
2006,GSE,13,1,4,1,10,104
2007,GSE,13,1,1,1,10,86
2007,GSE,13,1,2,1,10,86
2007,GSE,13,1,3,1,10,86
2007,GSE,13,1,4,1,10,105
2008,GSE,13,1,1,1,10,87
2008,GSE,13,1,2,1,10,87
2008,GSE,13,1,3,1,10,87
2008,GSE,13,1,4,1,10,106
2009,GSE,13,1,1,1,10,87
2009,GSE,13,1,2,1,10,87
2009,GSE,13,1,3,1,10,87
2009,GSE,13,1,4,1,10,107
2010,GSE,13,1,1,1,10,88
2010,GSE,13,1,2,1,10,88
2010,GSE,13,1,3,1,10,88
2010,GSE,13,1,4,1,10,107
2011,GSE,13,1,1,1,10,88
2011,GSE,13,1,2,1,10,88
2011,GSE,13,1,3,1,10,88
2011,GSE,13,1,4,1,10,107
2012,GSE,13,1,1,1,10,88
2012,GSE,13,1,2,1,10,88
2012,GSE,13,1,3,1,10,88
2012,GSE,13,1,4,1,10,107
2013,GSE,13,1,1,1,10,88
2013,GSE,13,1,2,1,10,88
2013,GSE,13,1,3,1,10,88
2013,GSE,13,1,4,1,10,107
2014,GSE,13,1,1,1,10,88
2014,GSE,13,1,2,1,10,88
2014,GSE,13,1,3,1,10,88
2014,GSE,13,1,4,1,10,107
2015,GSE,13,1,1,1,10,88
2015,GSE,13,1,2,1,10,88
2015,GSE,13,1,3,1,10,88
2015,GSE,13,1,4,1,10,107
2016,GSE,13,1,1,1,10,88
2016,GSE,13,1,2,1,10,88
2016,GSE,13,1,3,1,10,88
2016,GSE,13,1,4,1,10,107
2017,GSE,13,1,1,1,10,88
2017,GSE,13,1,2,1,10,88
2017,GSE,13,1,3,1,10,88
2017,GSE,13,1,4,1,10,107
2018,GSE,13,1,1,1,10,88
2018,GSE,13,1,2,1,10,88
2018,GSE,13,1,3,1,10,88
2018,GSE,13,1,4,1,10,107
2019,GSE,13,1,1,1,10,88
2019,GSE,13,1,2,1,10,88
2019,GSE,13,1,3,1,10,88
2019,GSE,13,1,4,1,10,107
1974,HBP,14,1,1,1,10,224
1974,HBP,14,1,2,1,10,224
1974,HBP,14,1,3,1,10,224
1974,HBP,14,1,4,1,10,224
1975,HBP,14,1,1,1,10,224
1975,HBP,14,1,2,1,10,224
1975,HBP,14,1,3,1,10,224
1975,HBP,14,1,4,1,10,224
1976,HBP,14,1,1,1,10,224
1976,HBP,14,1,2,1,10,224
1976,HBP,14,1,3,1,10,224
1976,HBP,14,1,4,1,10,224
1977,HBP,14,1,1,1,10,224
1977,HBP,14,1,2,1,10,224
1977,HBP,14,1,3,1,10,224
1977,HBP,14,1,4,1,10,224
1978,HBP,14,1,1,1,10,224
1978,HBP,14,1,2,1,10,224
1978,HBP,14,1,3,1,10,224
1978,HBP,14,1,4,1,10,224
1979,HBP,14,1,1,1,10,224
1979,HBP,14,1,2,1,10,224
1979,HBP,14,1,3,1,10,224
1979,HBP,14,1,4,1,10,224
1980,HBP,14,1,1,1,10,224
1980,HBP,14,1,2,1,10,224
1980,HBP,14,1,3,1,10,224
1980,HBP,14,1,4,1,10,224
1981,HBP,14,1,1,1,10,224
1981,HBP,14,1,2,1,10,224
1981,HBP,14,1,3,1,10,224
1981,HBP,14,1,4,1,10,224
1982,HBP,14,1,1,1,10,224
1982,HBP,14,1,2,1,10,224
1982,HBP,14,1,3,1,10,224
1982,HBP,14,1,4,1,10,224
1983,HBP,14,1,1,1,10,224
1983,HBP,14,1,2,1,10,224
1983,HBP,14,1,3,1,10,224
1983,HBP,14,1,4,1,10,224
1984,HBP,14,1,1,1,10,224
1984,HBP,14,1,2,1,10,224
1984,HBP,14,1,3,1,10,224
1984,HBP,14,1,4,1,10,224
1985,HBP,14,1,1,1,10,224
1985,HBP,14,1,2,1,10,224
1985,HBP,14,1,3,1,10,224
1985,HBP,14,1,4,1,10,224
1986,HBP,14,1,1,1,10,224
1986,HBP,14,1,2,1,10,224
1986,HBP,14,1,3,1,10,224
1986,HBP,14,1,4,1,10,224
1987,HBP,14,1,1,1,10,224
1987,HBP,14,1,2,1,10,224
1987,HBP,14,1,3,1,10,224
1987,HBP,14,1,4,1,10,224
1988,HBP,14,1,1,1,10,224
1988,HBP,14,1,2,1,10,224
1988,HBP,14,1,3,1,10,224
1988,HBP,14,1,4,1,10,224
1989,HBP,14,1,1,1,10,224
1989,HBP,14,1,2,1,10,224
1989,HBP,14,1,3,1,10,224
1989,HBP,14,1,4,1,10,224
1990,HBP,14,1,1,1,10,224
1990,HBP,14,1,2,1,10,224
1990,HBP,14,1,3,1,10,224
1990,HBP,14,1,4,1,10,224
1991,HBP,14,1,1,1,10,224
1991,HBP,14,1,2,1,10,224
1991,HBP,14,1,3,1,10,224
1991,HBP,14,1,4,1,10,224
1992,HBP,14,1,1,1,10,224
1992,HBP,14,1,2,1,10,224
1992,HBP,14,1,3,1,10,224
1992,HBP,14,1,4,1,10,224
1993,HBP,14,1,1,1,10,224
1993,HBP,14,1,2,1,10,224
1993,HBP,14,1,3,1,10,224
1993,HBP,14,1,4,1,10,224
1994,HBP,14,1,1,1,10,224
1994,HBP,14,1,2,1,10,224
1994,HBP,14,1,3,1,10,224
1994,HBP,14,1,4,1,10,224
1995,HBP,14,1,1,1,10,224
1995,HBP,14,1,2,1,10,224
1995,HBP,14,1,3,1,10,224
1995,HBP,14,1,4,1,10,224
1996,HBP,14,1,1,1,10,224
1996,HBP,14,1,2,1,10,224
1996,HBP,14,1,3,1,10,224
1996,HBP,14,1,4,1,10,224
1997,HBP,14,1,1,1,10,224
1997,HBP,14,1,2,1,10,224
1997,HBP,14,1,3,1,10,224
1997,HBP,14,1,4,1,10,224
1998,HBP,14,1,1,1,10,224
1998,HBP,14,1,2,1,10,224
1998,HBP,14,1,3,1,10,224
1998,HBP,14,1,4,1,10,224
1999,HBP,14,1,1,1,10,224
1999,HBP,14,1,2,1,10,224
1999,HBP,14,1,3,1,10,224
1999,HBP,14,1,4,1,10,224
2000,HBP,14,1,1,1,10,224
2000,HBP,14,1,2,1,10,224
2000,HBP,14,1,3,1,10,224
2000,HBP,14,1,4,1,10,224
2001,HBP,14,1,1,1,10,224
2001,HBP,14,1,2,1,10,224
2001,HBP,14,1,3,1,10,224
2001,HBP,14,1,4,1,10,224
2002,HBP,14,1,1,1,10,224
2002,HBP,14,1,2,1,10,224
2002,HBP,14,1,3,1,10,224
2002,HBP,14,1,4,1,10,224
2003,HBP,14,1,1,1,10,224
2003,HBP,14,1,2,1,10,224
2003,HBP,14,1,3,1,10,224
2003,HBP,14,1,4,1,10,224
2004,HBP,14,1,1,1,10,224
2004,HBP,14,1,2,1,10,224
2004,HBP,14,1,3,1,10,224
2004,HBP,14,1,4,1,10,224
2005,HBP,14,1,1,1,10,224
2005,HBP,14,1,2,1,10,224
2005,HBP,14,1,3,1,10,224
2005,HBP,14,1,4,1,10,224
2006,HBP,14,1,1,1,10,224
2006,HBP,14,1,2,1,10,224
2006,HBP,14,1,3,1,10,224
2006,HBP,14,1,4,1,10,224
2007,HBP,14,1,1,1,10,224
2007,HBP,14,1,2,1,10,224
2007,HBP,14,1,3,1,10,224
2007,HBP,14,1,4,1,10,224
2008,HBP,14,1,1,1,10,224
2008,HBP,14,1,2,1,10,224
2008,HBP,14,1,3,1,10,224
2008,HBP,14,1,4,1,10,224
2009,HBP,14,1,1,1,10,224
2009,HBP,14,1,2,1,10,224
2009,HBP,14,1,3,1,10,224
2009,HBP,14,1,4,1,10,224
2010,HBP,14,1,1,1,10,224
2010,HBP,14,1,2,1,10,224
2010,HBP,14,1,3,1,10,224
2010,HBP,14,1,4,1,10,224
2011,HBP,14,1,1,1,10,224
2011,HBP,14,1,2,1,10,224
2011,HBP,14,1,3,1,10,224
2011,HBP,14,1,4,1,10,224
2012,HBP,14,1,1,1,10,224
2012,HBP,14,1,2,1,10,224
2012,HBP,14,1,3,1,10,224
2012,HBP,14,1,4,1,10,224
2013,HBP,14,1,1,1,10,224
2013,HBP,14,1,2,1,10,224
2013,HBP,14,1,3,1,10,224
2013,HBP,14,1,4,1,10,224
2014,HBP,14,1,1,1,10,224
2014,HBP,14,1,2,1,10,224
2014,HBP,14,1,3,1,10,224
2014,HBP,14,1,4,1,10,224
2015,HBP,14,1,1,1,10,224
2015,HBP,14,1,2,1,10,224
2015,HBP,14,1,3,1,10,224
2015,HBP,14,1,4,1,10,224
2016,HBP,14,1,1,1,10,224
2016,HBP,14,1,2,1,10,224
2016,HBP,14,1,3,1,10,224
2016,HBP,14,1,4,1,10,224
2017,HBP,14,1,1,1,10,224
2017,HBP,14,1,2,1,10,224
2017,HBP,14,1,3,1,10,224
2017,HBP,14,1,4,1,10,224
2018,HBP,14,1,1,1,10,224
2018,HBP,14,1,2,1,10,224
2018,HBP,14,1,3,1,10,224
2018,HBP,14,1,4,1,10,224
2019,HBP,14,1,1,1,10,224
2019,HBP,14,1,2,1,10,224
2019,HBP,14,1,3,1,10,224
2019,HBP,14,1,4,1,10,224
