Year Quarter.no SMS.area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean Predator.weight Predator.size Predator.available.food Diri.p Diri.sum.p Diri.like Prey.no  Prey.length.class Prey.length.mean Prey.weight Prey.size N.haul N.samples stomcon  stomcon.hat Residual L.N.bar Prey.avail Prey.avail.part Suit Stom.var obj.contrib stom.input stom.used.all stom.used.like stom.used.avail stom.used.prey 
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 45.1193 49 -16.8515 0 0 -1 -1 9999 50 50 0.951748 0.920803 0.0309449 -1 1e+006 1e+006 1 0.0014585 0 0.951748 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 0.557429 49 -16.8515 17 9 110 0.01423 0.0139215 50 50 0.0104914 0.0113761 -0.000884663 370266 12354.5 12354.5 2.39677 0.000224934 0 0.0104914 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 0.886475 49 -16.8515 18 9 115 0.01249 0.0123468 50 50 0.0115506 0.0180913 -0.00654078 3.04314e+006 19647.3 19647.3 0.522912 0.000355281 0 0.0115506 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 0.526462 49 -16.8515 21 8 90 0.0066 0.0066025 50 50 0.00715978 0.0107441 -0.00358434 602643 11668.2 129.367 0.032513 0.000212574 0 4.223e-005 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 0.526462 49 -16.8515 21 9 126 0.01912 0.0186768 50 50 0 0 0 8.04311e+006 0 4884.08 0.032513 0 0 0.0028118 1 0 1 1
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 0.526462 49 -16.8515 21 10 163 0.04229 0.0413868 50 50 0 0 0 4.94555e+006 0 6654.77 0.032513 0 0 0.00430575 1 0 1 1
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 0.901418 49 -16.8515 23 8 88 0.00714 0.00705935 50 50 0.0117951 0.0183963 -0.0066012 5.63224e+006 19978.5 2010.51 0.0505663 0.000361157 0 0.00132062 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 0.901418 49 -16.8515 23 9 107 0.01305 0.0127561 50 50 0 0 0 2.78562e+007 0 17968 0.0505663 0 0 0.0104745 1 0 1 1
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 1.00888 49 -16.8515 24 7 56 0.00152 0.00152376 50 50 0.00725556 0.0205895 -0.0133339 3.74562e+007 22360.4 2775.33 0.0486265 0.000403311 0 0.0008827 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 1.00888 49 -16.8515 24 8 80 0.00467 0.00458803 50 50 0 0 0 5.41133e+007 0 12072.7 0.0486265 0 0 0.00426226 1 0 1 1
1981 1 1 1 0 15 500 500 5 5 1.08601e+006 1.00888 49 -16.8515 24 9 100 0.00914 0.0091436 50 50 0 0 0 1.6896e+007 0 7512.34 0.0486265 0 0 0.0021106 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 4.40186e+006 0.240295 10.5774 -6.74947 0 0 -1 -1 9999 50 50 0.0402473 0.0227177 0.0175296 -1 100000 100000 1 0.00191766 0 0.0402473 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 4.40186e+006 1.84737 10.5774 -6.74947 18 9 130 0.01794 0.0177171 50 50 0.0889451 0.174652 -0.0857064 3.04314e+006 768791 95081.9 1.76353 0.0124508 0 0.0113076 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 4.40186e+006 1.84737 10.5774 -6.74947 18 10 166 0.03718 0.0364009 50 50 0 0 0 4.5114e+006 0 289604 1.76353 0 0 0.0353542 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 4.40186e+006 1.84737 10.5774 -6.74947 18 11 212 0.07524 0.0748198 50 50 0 0 0 2.91106e+006 0 384105 1.76353 0 0 0.0422833 1 0 1 1
