"Predator","Quarter","Year","Predator.length.class","Prey","Quarter.no","Predator.no","Size.model","Predator.length","Predator.length.mean","Predator.weight","Predator.size","Predator.available.food","Diri.p","Diri.sum.p","Diri.like","multinom.like","Prey.no","Prey.length.class","Prey.length.mean","Prey.weight","Prey.size","Prey.number.obs","Prey.number.prob","Obj.N.contrib","avail.prey.number.sum","N.haul","N.samples","stomcon","stomcon.hat","Residual","L.N.bar","Prey.avail","Prey.avail.part","Suit","Stom.var","obj.contrib","stom.input","stom.used.all","stom.used.like","stom.used.avail","stom.type","stan.residual","Area","Pred.avail","stomcon.hat.part","Residual.part","year.range","year"
"Cod","Q1",1974,10,"Other",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,15,15,0.470302,0.197901,0.272401,-1,6689540,6689540,6.68954,0.158736,0,0.470201,0,1,1,1,0.683708503542997,1,33802438.47,0.197901107221511,0.272299892778489,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,2,77,0.00397,0.00397,0,0,0,0,15,15,0.467025,0.468887,-0.00186184,43692.8,15849500,1324.07,7.63329,0.249032,0,0.00188562,0,1,1,1,-0.00373091004732531,1,33802438.47,3.9170842694533e-05,0.00184644915730547,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,3,92,0.00677,0.00677,0,0,0,0,15,15,0,0,0,189508,0,11077.2,8.63406,0,0,0.00502989,0,0,1,1,NA,1,33802438.47,0.000327704168734191,0.00470218583126581,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,4,109,0.01127,0.01127,0,0,0,0,15,15,0,0,0,2388740,0,237677,8.82865,0,0,0.0176816,0,0,1,1,NA,1,33802438.47,0.00703135663454992,0.0106502433654501,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,5,129,0.01868,0.01868,0,0,0,0,15,15,0,0,0,7507220,0,1154540,8.23291,0,0,0.0392665,0,0,1,1,NA,1,33802438.47,0.0341555240467242,0.00511097595327581,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,6,149,0.02878,0.02878,0,0,0,0,15,15,0,0,0,9024750,0,1873140,7.21181,0,0,0.0529145,0,0,1,1,NA,1,33802438.47,0.0554143453781428,-0.00249984537814277,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,7,169,0.04199,0.04199,0,0,0,0,15,15,0,0,0,8637180,0,2205340,6.08075,0,0,0.091783,0,0,1,1,NA,1,33802438.47,0.065242038735083,0.026540961264917,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,8,189,0.05874,0.05874,0,0,0,0,15,15,0,0,0,9338160,0,2745770,5.00575,0,0,0.125906,0,0,1,1,NA,1,33802438.47,0.0812299385571517,0.0446760614428483,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,9,209,0.07943,0.07943,0,0,0,0,15,15,0,0,0,8676130,0,2798040,4.06016,0,0,0.0656353,0,0,1,1,NA,1,33802438.47,0.0827762767021465,-0.0171409767021465,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,10,229,0.10448,0.10448,0,0,0,0,15,15,0,0,0,6697860,0,2283600,3.26326,0,0,0.0527859,0,0,1,1,NA,1,33802438.47,0.0675572563212183,-0.0147713563212183,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,11,249,0.13431,0.13431,0,0,0,0,15,15,0,0,0,4077600,0,1428730,2.60877,0,0,0.0129354,0,0,1,1,NA,1,33802438.47,0.0422670690242662,-0.0293316690242662,"1977-81","Y1974"
"Cod","Q1",1974,10,"Herring",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,2,12,286,0.20352,0.20352,0,0,0,0,15,15,0,0,0,3183060,0,1110290,1.71389,0,0,0.00110069,0,0,1,1,NA,1,33802438.47,0.0328464468912618,-0.0317457568912618,"1977-81","Y1974"
"Cod","Q1",1974,10,"Sprat",1,1,1,600,638,2.25934,2.25934,33802400,0,0,0,0,3,2,64,0.00228,0.00228,0,0,0,0,15,15,0.00021577,0,0,426722,0,0,2.40158,0,0,0.00021577,0,0,0,1,NA,1,33802438.47,0,0.00021577,"1977-81","Y1974"
