Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed prop.in propmat BIO SSB Lsea ration
1974 1 16 1 0.05 0.333824 0.3019 0.0839651 0.467789 724978 579027 48618.1 0 0.0519 0.304 0 0 0.11 0.94 0.0077 37626.4 289.723 153 0.0880281 
1974 1 16 2 0.05 0.130995 0.1916 0.199467 0.380462 171272 142458 28415.7 0 0.576 0.901 0 0 0.79 0.91 0.0532 98652.9 5248.34 329 0.583633 
1974 1 16 3 0.05 0.00762079 0.0529 0.199821 0.257441 27698.4 24420.2 4879.67 0 1.5787 2.206 0 0 0.99 0.89 0.2288 43727.4 10004.8 496 1.28911 
1974 1 16 4 0.05 0 0.05 0.166687 0.216687 35212.2 31658.4 5277.04 0 3.24419 4.156 0 0 1 0.93 0.6165 114235 70425.8 702 2.27059 
1974 1 16 5 0.05 0 0.05 0.151506 0.201506 10517.2 9525.31 1443.14 0 5.24525 6.174 0 0 1 0.96 0.8456 55165.5 46647.9 830 3.31235 
1974 1 16 6 0.05 0 0.05 0.152545 0.202545 2228.07 2016.92 307.672 0 7.82621 8.333 0 0 1 0.96 1 17437.4 17437.4 937 4.53652 
1974 1 16 7 0.05 0 0.05 0.159119 0.209119 990.012 893.351 142.149 0 8.78805 9.889 0 0 1 0.96 1 8700.28 8700.28 989 4.96922 
1974 1 16 8 0.05 0 0.05 0.151872 0.201872 934.975 846.645 128.582 0 10.3177 10.791 0 0 1 0.96 1 9646.8 9646.8 1031 5.63717 
1974 1 16 9 0.05 0 0.05 0.166616 0.216616 572.473 514.714 85.7595 0 11.7651 12.175 0 0 1 0.96 1 6735.23 6735.23 1041 6.24988 
1974 1 16 10 0.05 0 0.05 0.166616 0.216616 484.05 435.212 72.5132 0 12.1286 13.3397 0 0 1 0.96 1 5870.86 5870.86 1159 6.40114 
1974 2 16 1 0.05 0.228087 0.3019 0.0839651 0.362052 454116 380994 31990.2 0 0.116 0.304 0 0 0.11 0.94 0.0077 52677.5 405.616 194 0.222973 
1974 2 16 2 0.05 0.135108 0.1916 0.199467 0.384576 117072 97189.3 19386.1 0 0.682 0.901 0 0 0.79 0.91 0.0532 79843.4 4247.67 357 0.897232 
1974 2 16 3 0.05 0.00305329 0.0529 0.199821 0.252874 21411.6 18918.8 3780.37 0 2.09099 2.206 0 0 0.99 0.89 0.2288 44771.5 10243.7 552 2.16433 
1974 2 16 4 0.05 0 0.05 0.166687 0.216687 28352.2 25490.8 4248.98 0 3.92252 4.156 0 0 1 0.93 0.6165 111212 68562.3 709 3.54858 
