Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield Yield.core CWsum CWsum.core prop.landed prop.in propmat BIO SSB Lsea ration
1974 1 16 1 0.05 0.238179 0.294 0.0835685 0.371748 606454 506491 42326.7 0 0.0519 0.304 0 0 0 0 1 0.95 0.0072 31474.9 226.62 153 0.0880281 
1974 1 16 2 0.05 0.15751 0.1778 0.189641 0.397151 187044 154367 29274.4 0 0.576 0.901 0 0 0 0 1 0.9 0.0483 107738 5203.73 329 0.583633 
1974 1 16 3 0.05 0.0144084 0.0539 0.195184 0.259593 27914.6 24585.5 4798.71 0 1.5787 2.206 0 0 0 0 1 0.89 0.209 44068.8 9210.37 496 1.28911 
1974 1 16 4 0.05 0.00133292 0.0499 0.164991 0.216324 36018.9 32389.4 5343.97 0 3.24419 4.156 0 0 0 0 1 0.94 0.6188 116852 72308 702 2.27059 
1974 1 16 5 0.05 0 0.05 0.148197 0.198197 10664.4 9674.09 1433.68 0 5.24525 6.174 0 0 0 0 1 0.96 0.8459 55937.6 47317.6 830 3.31235 
1974 1 16 6 0.05 0 0.05 0.14821 0.19821 2219.85 2013.69 298.449 0 7.82621 8.333 0 0 0 0 1 0.96 1 17373 17373 937 4.53652 
1974 1 16 7 0.05 0 0.05 0.159313 0.209313 999.447 901.78 143.665 0 8.78805 9.889 0 0 0 0 1 0.96 1 8783.2 8783.2 989 4.96922 
1974 1 16 8 0.05 0 0.05 0.149786 0.199786 942.453 854.277 127.959 0 10.3177 10.791 0 0 0 0 1 0.96 1 9723.96 9723.96 1031 5.63717 
1974 1 16 9 0.05 0 0.05 0.166866 0.216866 572.079 514.298 85.819 0 11.7651 12.175 0 0 0 0 1 0.96 1 6730.6 6730.6 1041 6.24988 
1974 1 16 10 0.05 0 0.05 0.166866 0.216866 483.639 434.79 72.5518 0 13.0215 13.3397 0 0 0 0 1 0.96 1 6297.69 6297.69 1159 6.76866 
1974 2 16 1 0.05 0.214315 0.294 0.0835685 0.347883 418167 353179 29514.7 0 0.116 0.304 0 0 0 0 1 0.95 0.0072 48507.4 349.253 194 0.222973 
1974 2 16 2 0.05 0.156918 0.1778 0.189641 0.396559 125737 103799 19684.6 0 0.682 0.901 0 0 0 0 1 0.9 0.0483 85752.9 4141.86 357 0.897232 
1974 2 16 3 0.05 0.0131606 0.0539 0.195184 0.258345 21532.3 18975.8 3703.77 0 2.09099 2.206 0 0 0 0 1 0.89 0.209 45024 9410.02 552 2.16433 
1974 2 16 4 0.05 0 0.0499 0.164991 0.214991 29012.3 26105.5 4307.19 0 3.92252 4.156 0 0 0 0 1 0.94 0.6188 113801 70420.1 709 3.54858 
