Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed prop.in propmat BIO SSB Lsea ration
1974 1 16 1 0.05 0.357125 0.2749 0.0766325 0.483757 801362 635343 48687.9 0 0.0519 0.304 0 0 1 0.94 0.0101 41590.7 420.066 153 0.0880281 
1974 1 16 2 0.05 0.153472 0.1606 0.193697 0.397169 180320 148816 28825.2 0 0.576 0.901 0 0 1 0.91 0.0523 103864 5432.1 329 0.583633 
1974 1 16 3 0.05 0.00830141 0.0533 0.198894 0.257195 27683 24409.6 4854.91 0 1.5787 2.206 0 0 1 0.88 0.2292 43703.2 10016.8 496 1.28911 
1974 1 16 4 0.05 0 0.0499 0.167187 0.217187 35406.1 31825.1 5320.75 0 3.24419 4.156 0 0 1 0.94 0.6147 114864 70607 702 2.27059 
1974 1 16 5 0.05 0 0.05 0.15118 0.20118 10543.3 9550.42 1443.83 0 5.24525 6.174 0 0 1 0.96 0.8506 55302.2 47040.1 830 3.31235 
1974 1 16 6 0.05 0 0.05 0.152392 0.202392 2226.66 2015.8 307.191 0 7.82621 8.333 0 0 1 0.96 1 17426.3 17426.3 937 4.53652 
1974 1 16 7 0.05 0 0.05 0.158989 0.208989 991.327 894.593 142.23 0 8.78805 9.889 0 0 1 0.96 1 8711.83 8711.83 989 4.96922 
1974 1 16 8 0.05 0 0.05 0.151791 0.201791 936.253 847.835 128.694 0 10.3177 10.791 0 0 1 0.96 1 9659.99 9659.99 1031 5.63717 
1974 1 16 9 0.05 0 0.05 0.166311 0.216311 573.623 515.824 85.7873 0 11.7651 12.175 0 0 1 0.96 1 6748.76 6748.76 1041 6.24988 
1974 1 16 10 0.05 0 0.05 0.166311 0.216311 484.928 436.066 72.5227 0 13.0215 13.3397 0 0 1 0.96 1 6314.48 6314.48 1159 6.76866 
1974 2 16 1 0.05 0.253498 0.2749 0.0766325 0.38013 494010 410963 31493.1 0 0.116 0.304 0 0 1 0.94 0.0101 57305.1 578.782 194 0.222973 
1974 2 16 2 0.05 0.157478 0.1606 0.193697 0.401174 121215 99850.4 19340.7 0 0.682 0.901 0 0 1 0.91 0.0523 82668.4 4323.56 357 0.897232 
1974 2 16 3 0.05 0.00351646 0.0533 0.198894 0.25241 21405 18917.2 3762.51 0 2.09099 2.206 0 0 1 0.88 0.2292 44757.7 10258.5 552 2.16433 
1974 2 16 4 0.05 0 0.0499 0.167187 0.217187 28494.1 25612.2 4282.03 0 3.92252 4.156 0 0 1 0.94 0.6147 111769 68704.2 709 3.54858 
1974 2 16 5 0.05 0 0.05 0.15118 0.20118 8621.94 7810 1180.72 0 5.64947 6.174 0 0 1 0.96 0.8506 48709.4 41432.2 839 4.72697 
1974 2 16 6 0.05 0 0.05 0.152392 0.202392 1818.68 1646.45 250.906 0 8.2498 8.333 0 0 1 0.96 1 15003.8 15003.8 935 6.36532 
1974 2 16 7 0.05 0 0.05 0.158989 0.208989 804.367 725.877 115.406 0 9.57898 9.889 0 0 1 0.96 1 7705.01 7705.01 993 7.1583 
1974 2 16 8 0.05 0 0.05 0.151791 0.201791 765.167 692.907 105.177 0 10.6017 10.791 0 0 1 0.96 1 8112.06 8112.06 1050 7.75239 
1974 2 16 9 0.05 0 0.05 0.166311 0.216311 462.044 415.488 69.1004 0 12.0545 12.175 0 0 1 0.96 1 5569.69 5569.69 1091 8.57571 
1974 2 16 10 0.05 0 0.05 0.166311 0.216311 390.602 351.244 58.4159 0 13.2173 13.3397 0 0 1 0.96 1 5162.7 5162.7 1156 9.21943 
1974 3 16 0 0.05 1.4442 0.675 0 1.4942 8.64524e+06 4.48736e+06 0 0 0.00598 0 0 0 1 0.94 0 51698.5 0 84 0.0222998 
1974 3 16 1 0.05 0.184974 0.2749 0.0766325 0.311606 337790 290227 22240.8 139635 0.23 0.304 42449 42449 1 0.94 0.0101 77691.7 784.686 251 0.392693 
1974 3 16 2 0.05 0.117003 0.1606 0.193697 0.3607 81157.3 68132.5 13197 74501.9 0.829 0.901 67126.2 67126.2 1 0.91 0.0523 67279.4 3518.71 417 1.0757 
1974 3 16 3 0.05 0.00278518 0.0533 0.198894 0.251679 16630.1 14702.4 2924.22 11418 2.38374 2.206 25188.1 25188.1 1 0.88 0.2292 39641.7 9085.88 590 2.46722 
1974 3 16 4 0.05 0 0.0499 0.167187 0.217187 22931.5 20612.2 3446.09 15744.9 4.50254 4.156 65435.6 65435.6 1 0.94 0.6147 103250 63467.7 772 4.06713 
1974 3 16 5 0.05 0 0.05 0.15118 0.20118 7050.72 6386.75 965.549 4600.55 6.55416 6.174 28403.8 28403.8 1 0.96 0.8506 46211.6 39307.5 871 5.46317 
1974 3 16 6 0.05 0 0.05 0.152392 0.202392 1485.45 1344.78 204.934 956.19 8.46159 8.333 7967.93 7967.93 1 0.96 1 12569.3 12569.3 951 6.6778 
1974 3 16 7 0.05 0 0.05 0.158989 0.208989 652.667 588.979 93.6412 436.1 10.5457 9.889 4312.59 4312.59 1 0.96 1 6882.8 6882.8 969 7.9394 
1974 3 16 8 0.05 0 0.05 0.151791 0.201791 625.345 566.289 85.9575 392.85 10.9803 10.791 4239.24 4239.24 1 0.96 1 6866.49 6866.49 1004 8.19547 
1974 3 16 9 0.05 0 0.05 0.166311 0.216311 372.17 334.669 55.6593 329.84 12.3438 12.175 4015.8 4015.8 1 0.96 1 4593.97 4593.97 1092 8.98516 
1974 3 16 10 0.05 0 0.05 0.166311 0.216311 314.624 282.922 47.0531 268.07 13.4131 13.3397 3575.97 3575.97 1 0.96 1 4220.08 4220.08 1134 9.59145 
1974 4 16 0 0.05 0.417084 0.675 0 0.467084 1.94024e+06 1.55014e+06 0 0 0.0225 0 0 0 1 0.94 0 43655.4 0 136 0.0704303 
1974 4 16 1 0.05 0.234461 0.2749 0.0766325 0.361093 247354 207618 15910.3 0 0.377 0.304 0 0 1 0.94 0.0101 93252.3 941.848 302 0.645486 
1974 4 16 2 0.05 0.10638 0.1606 0.193697 0.350077 56581.9 47739.1 9246.92 0 1.12 0.901 0 0 1 0.91 0.0523 63371.7 3314.34 444 1.51895 
1974 4 16 3 0.05 0 0.0533 0.198894 0.248894 12929.8 11446.3 2276.6 0 2.77057 2.206 0 0 1 0.88 0.2292 35822.9 8210.61 603 3.09527 
1974 4 16 4 0.05 0 0.0499 0.167187 0.217187 18454.8 16588.2 2773.34 0 4.95476 4.156 0 0 1 0.94 0.6147 91439 56207.5 759 4.88781 
1974 4 16 5 0.05 0 0.05 0.15118 0.20118 5765.83 5222.86 789.593 0 7.24711 6.174 0 0 1 0.96 0.8506 41785.6 35542.9 870 6.59035 
1974 4 16 6 0.05 0 0.05 0.152392 0.202392 1213.28 1098.38 167.385 0 8.7944 8.333 0 0 1 0.96 1 10670.1 10670.1 948 7.67292 
1974 4 16 7 0.05 0 0.05 0.158989 0.208989 529.577 477.9 75.9808 0 10.6433 9.889 0 0 1 0.96 1 5636.45 5636.45 991 8.91441 
