Year Quarter.no SMS.area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean Predator.weight Predator.size Predator.available.food Diri.p Diri.sum.p Diri.like multinom.like Prey.no  Prey.length.class Prey.length.mean Prey.weight  Prey.size Prey.number.obs Prey.number.prob Obj.N.contrib avail.prey.number.sum N.haul N.samples stomcon  stomcon.hat Residual L.N.bar Prey.avail Prey.avail.part Suit Stom.var obj.contrib stom.input stom.used.all stom.used.like stom.used.avail stom.type
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 65.3265 70.2219 -17.5528 0 0 0 -1 -1 -1 0 0 0 0 50 50 0.951788 0.930287 0.0215009 -1 1e+06 1e+06 1 0.000910579 0 0.951748 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 1.01006 70.2219 -17.5528 0 18 9 110 0.01423 0.01423 0 0 0 0 50 50 0.0104919 0.0143838 -0.00389193 513925 15461.7 15461.7 2.11423 0.000199053 0 0.0104914 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 0.974869 70.2219 -17.5528 0 19 9 115 0.01249 0.01249 0 0 0 0 50 50 0.011551 0.0138827 -0.00233165 1.71152e+06 14923 14923 0.698091 0.000192216 0 0.0115505 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 0 70.2219 -17.5528 0 22 8 90 0.0066 0.0066 0 0 0 0 50 50 4.223e-05 0 0 395553 0 0 0.0302135 0 0 4.223e-05 1 0 0 1
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 0.472696 70.2219 -17.5528 0 22 9 126 0.01912 0.01912 0 0 0 0 50 50 0.00711785 0.00673146 0.000386388 5.28494e+06 7235.9 3053.01 0.0302135 9.38777e-05 0 0.0028118 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 0 70.2219 -17.5528 0 22 10 163 0.04229 0.04229 0 0 0 0 50 50 0 0 0 3.27369e+06 0 4182.89 0.0302135 0 0 0.00430575 1 0 1 1
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 1.15462 70.2219 -17.5528 0 25 8 88 0.00714 0.00714 0 0 0 0 50 50 0.0117956 0.0164424 -0.00464684 6.64906e+06 17674.6 1763.69 0.0371505 0.000227066 0 0.00132062 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 0 70.2219 -17.5528 0 25 9 107 0.01305 0.01305 0 0 0 0 50 50 0 0 0 3.28186e+07 0 15910.9 0.0371505 0 0 0.0104745 1 0 1 1
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 1.28315 70.2219 -17.5528 0 26 7 56 0.00152 0.00152 0 0 0 0 50 50 0.00725587 0.0182727 -0.0110169 2.40632e+07 19642 2956.2 0.0808233 0.000251872 0 0.0008827 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 0 70.2219 -17.5528 0 26 8 80 0.00467 0.00467 0 0 0 0 50 50 0 0 0 3.27996e+07 0 12380 0.0808233 0 0 0.00426226 1 0 1 1
1981 1 1 1 0 15 500 500 5 5 1.07494e+06 0 70.2219 -17.5528 0 26 9 100 0.00914 0.00914 0 0 0 0 50 50 0 0 0 5.82872e+06 0 4305.82 0.0808233 0 0 0.0021106 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 4.37255e+06 0.229233 10.0233 -6.97541 0 0 0 -1 -1 -1 0 0 0 0 50 50 0.0403852 0.02287 0.0175153 -1 100000 100000 1 0.00202724 0 0.0403852 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 4.37255e+06 1.4248 10.0233 -6.97541 0 19 9 130 0.01794 0.01794 0 0 0 0 50 50 0.0889451 0.142148 -0.0532029 1.71152e+06 621549 65254.1 2.12522 0.0110622 0 0.0113076 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 4.37255e+06 0 10.0233 -6.97541 0 19 10 166 0.03718 0.03718 0 0 0 0 50 50 0 0 0 2.57184e+06 0 203215 2.12522 0 0 0.0353542 1 0 1 1
