Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield Yield.core CWsum CWsum.core prop.landed prop.in propmat BIO SSB Lsea ration
1974 1 2 1 0.025 0.144851 0.1082 0.00305846 0.172909 1.60007e+07 1.46938e+07 44940.4 35592.7 0.013725 0.012 427.112 427.112 427.112 427.112 1 1 0 219610 0 133 0 
1974 1 2 2 0.025 0.0678277 0.0768 0.0162158 0.109043 1.45364e+07 1.37719e+07 223322 337970 0.03 0.03 10139.1 10139.1 10139.1 10139.1 1 1 0.7 436093 305265 170 0 
1974 1 2 3 0.025 0.037604 0.0628 0.0209066 0.0835106 8.4438e+06 8.10084e+06 169361 261472 0.048 0.048 12550.6 12550.6 12550.6 12550.6 1 1 0.9 405303 364772 198 0 
1974 1 2 4 0.025 0.0294775 0.0583 0.0231296 0.0776071 8.70073e+06 8.37167e+06 193633 230434 0.06 0.06 13826.1 13826.1 13826.1 13826.1 1 1 1 522044 522044 213 0 
1974 1 2 5 0.025 0.026923 0.055 0.0282279 0.0801508 3.85193e+06 3.70161e+06 104488 94646 0.065 0.065 6151.99 6151.99 6151.99 6151.99 1 1 1 250376 250376 218 0 
1974 1 2 6 0.025 0.0264562 0.0548 0.0282279 0.0796841 1.74478e+06 1.67707e+06 47340.2 41418.8 0.066 0.066 2733.64 2733.64 2733.64 2733.64 1 1 1 115155 115155 219 0 
1974 1 2 7 0.025 0.021344 0.0512 0.0282279 0.0745719 1.09976e+06 1.05975e+06 29914.6 20193.3 0.072 0.072 1453.92 1453.92 1453.92 1453.92 1 1 1 79182.5 79182.5 225 0 
1974 1 2 8 0.025 0.0144023 0.044 0.0282279 0.0676302 3.88168e+06 3.75333e+06 105949 72119.6 0.1011 0.1011 7291.29 7291.29 7291.29 7291.29 1 1 1 392438 392438 251 0 
1974 2 2 1 0.025 0.0388045 0.1082 0.00650866 0.0703131 1.34601e+07 1.29977e+07 84597.9 88555.8 0.02 0.008 708.447 708.447 708.447 708.447 1 1 0 269201 0 150 0 
1974 2 2 2 0.025 0.0227234 0.0768 0.0588989 0.106622 1.30347e+07 1.23638e+07 728217 715304 0.035 0.035 25035.6 25035.6 25035.6 25035.6 1 1 0.7 456214 319350 179 0 
1974 2 2 3 0.025 0.0152835 0.0628 0.0929932 0.133277 7.7673e+06 7.27195e+06 676241 645533 0.047 0.047 30340 30340 30340 30340 1 1 0.9 365063 328557 197 0 
1974 2 2 4 0.025 0.0131999 0.0583 0.102881 0.141081 8.05102e+06 7.50889e+06 772522 692745 0.054 0.054 37408.2 37408.2 37408.2 37408.2 1 1 1 434755 434755 206 0 
1974 2 2 5 0.025 0.0119892 0.055 0.125558 0.162547 3.55524e+06 3.28134e+06 411999 218044 0.059 0.059 12864.6 12864.6 12864.6 12864.6 1 1 1 209759 209759 211 0 
1974 2 2 6 0.025 0.0140298 0.0548 0.125558 0.164588 1.61114e+06 1.48554e+06 186522 131761 0.051 0.051 6719.81 6719.81 6719.81 6719.81 1 1 1 82168.3 82168.3 202 0 
1974 2 2 7 0.025 0.01245 0.0512 0.125558 0.163008 1.02073e+06 941878 118260 102765 0.057 0.057 5857.62 5857.62 5857.62 5857.62 1 1 1 58181.6 58181.6 209 0 
1974 2 2 8 0.025 0.0079954 0.044 0.125558 0.158554 3.62784e+06 3.35486e+06 421230 192289 0.07715 0.07715 14835.1 14835.1 14835.1 14835.1 1 1 1 279888 279888 230 0 
1974 3 2 0 0.025 0.193237 0.05 0 0.218237 1.95735e+07 1.75849e+07 0 1421.02 0.010226 0.011 15.6313 15.6313 15.6313 15.6313 1 1 0 200158 0 121 0 
1974 3 2 1 0.025 0.0687528 0.1082 0.0105101 0.104263 1.25461e+07 1.19142e+07 125220 165289 0.035 0.041 6776.86 6776.86 6776.86 6776.86 1 1 0 439115 0 179 0 
1974 3 2 2 0.025 0.0506444 0.0768 0.0255553 0.1012 1.17164e+07 1.11431e+07 284765 214024 0.045 0.045 9631.09 9631.09 9631.09 9631.09 1 1 0.7 527239 369067 194 0 
1974 3 2 3 0.025 0.0464606 0.0628 0.0464486 0.117909 6.79812e+06 6.41263e+06 297858 200429 0.049 0.049 9821.02 9821.02 9821.02 9821.02 1 1 0.9 333108 299797 199 0 
1974 3 2 4 0.025 0.0436937 0.0583 0.0513874 0.120081 6.99166e+06 6.58819e+06 338550 158344 0.052 0.052 8233.9 8233.9 8233.9 8233.9 1 1 1 363566 363566 203 0 
1974 3 2 5 0.025 0.0355888 0.055 0.0627144 0.123303 3.02187e+06 2.843e+06 178297 364695 0.063 0.063 22975.8 22975.8 22975.8 22975.8 1 1 1 190378 190378 216 0 
1974 3 2 6 0.025 0.0309413 0.0548 0.0627144 0.118656 1.36664e+06 1.28868e+06 80818.4 125476 0.068 0.068 8532.39 8532.39 8532.39 8532.39 1 1 1 92931.6 92931.6 221 0 
1974 3 2 7 0.025 0.0309413 0.0512 0.0627144 0.118656 867195 817723 51283 46668.2 0.068 0.068 3173.43 3173.43 3173.43 3173.43 1 1 1 58969.3 58969.3 221 0 
